time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-22T18:31:43.900Z,18.2886,96.0648,10,4.9,mb,,69,2.067,0.95,us,us1000dqcv,2018-04-22T19:20:58.374Z,"44km WSW of Pyu, Burma",earthquake,4.9,1.9,0.057,95,reviewed,us,us
2018-04-22T17:25:59.240Z,12.1818,-88.2321,42.47,4.5,mb,,168,1.262,1.29,us,us1000dqc6,2018-04-24T10:01:20.659Z,"105km SW of Jiquilillo, Nicaragua",earthquake,7.3,5,0.06,81,reviewed,us,us
2018-04-22T16:59:15.990Z,-15.4656,-174.4836,10,5.2,mb,,58,5.642,0.96,us,us1000dqc2,2018-04-24T15:27:16.040Z,"95km NW of Hihifo, Tonga",earthquake,10.7,1.8,0.036,255,reviewed,us,us
2018-04-22T13:32:40.710Z,-15.3898,-173.7168,54.96,4.5,mb,,109,2.385,0.5,us,us1000dsqr,2018-04-26T20:20:55.040Z,"62km N of Hihifo, Tonga",earthquake,10.2,5.4,0.15,13,reviewed,us,us
2018-04-22T10:45:48.390Z,-56.4559,-26.6866,58.81,5,mb,,85,5.997,0.64,us,us1000dq9t,2018-04-22T11:03:38.040Z,"41km NE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12,7.8,0.103,30,reviewed,us,us
2018-04-22T02:29:26.740Z,4.7225,127.5943,134.04,4.9,mb,,45,3.075,0.69,us,us1000dq5j,2018-04-22T22:20:14.040Z,"239km SE of Pondaguitan, Philippines",earthquake,4.4,7,0.044,161,reviewed,us,us
2018-04-22T02:07:40.780Z,20.8068,145.0467,115.35,4.6,mb,,94,6.785,0.55,us,us1000dq5b,2018-04-22T22:09:17.040Z,"33km NNE of Farallon de Pajaros, Northern Mariana Islands",earthquake,9,3.3,0.033,266,reviewed,us,us
2018-04-22T01:12:24.560Z,27.7353,53.5072,36.83,4.5,mb,,71,3.684,0.56,us,us1000dq4p,2018-04-22T21:55:40.681Z,"62km W of Gerash, Iran",earthquake,7.4,4.6,0.053,105,reviewed,us,us
2018-04-22T00:31:44.270Z,-2.7756,139.1947,10,4.7,mb,,66,6.938,0.9,us,us1000dq4e,2018-04-22T00:49:23.040Z,"155km W of Abepura, Indonesia",earthquake,8.4,1.8,0.075,54,reviewed,us,us
2018-04-21T22:41:10.890Z,18.2895,96.0978,10,4.7,mb,,62,2.04,0.5,us,us1000dq2n,2018-04-21T22:57:08.040Z,"41km WSW of Pyu, Burma",earthquake,3.2,1.9,0.058,91,reviewed,us,us
